Lv,Next,Total
1,50,0
2,60,50
3,70,110
4,80,180
5,100,260
6,120,360
7,140,480
8,170,620
9,200,790
10,230,990
11,270,1220
12,310,1490
13,350,1800
14,400,2150
15,450,2550
16,500,3000
17,560,3500
18,620,4060
19,680,4680
20,750,5360
21,820,6110
22,890,6930
23,970,7820
24,1050,8790
25,1130,9840
26,1220,10970
27,1310,12190
28,1400,13500
29,1500,14900
30,1600,16400
31,1700,18000
32,1810,19700
33,1920,21510
34,2030,23430
35,2150,25460
36,2270,27610
37,2390,29880
38,2520,32270
39,2650,34790
40,2780,37440
41,2920,40220
42,3060,43140
43,3200,46200
44,3350,49400
45,3500,52750
46,3650,56250
47,3810,59900
48,3970,63710
49,4130,67680
50,4300,71810
51,4560,76110
52,4820,80670
53,5090,85490
54,5360,90580
55,5640,95940
56,5920,101580
57,6210,107500
58,6500,113710
59,6800,120210
60,7100,127010
61,7410,134110
62,7720,141520
63,8040,149240
64,8360,157280
65,8690,165640
66,9020,174330
67,9360,183350
68,9700,192710
69,10050,202410
70,10400,212460
71,11120,222860
72,11850,233980
73,12590,245830
74,13340,258420
75,14100,271760
76,14870,285860
77,15650,300730
78,16440,316380
79,17240,332820
80,18050,350060
81,18870,368110
82,19700,386980
83,20540,406680
84,21390,427220
85,22250,448610
86,23120,470860
87,24000,493980
88,24890,517980
89,25790,542870
90,26700,568660
91,28540,595360
92,30400,623900
93,32280,654300
94,34180,686580
95,36100,720760
96,38040,756860
97,40000,794900
98,41980,834900
99,43980,876880
100,46000,920860
101,48040,966860
102,50100,1014900
103,52180,1065000
104,54280,1117180
105,56400,1171460
106,58540,1227860
107,60700,1286400
108,62880,1347100
109,65080,1409980
110,67300,1475060
111,70660,1542360
112,74050,1613020
113,77470,1687070
114,80920,1764540
115,84400,1845460
116,87910,1929860
117,91450,2017770
118,95020,2109220
119,98620,2204240
120,102250,2302860
121,105880,2405110
122,109540,2510990
123,113230,2620530
124,116950,2733760
125,120700,2850710
126,124480,2971410
127,128290,3095890
128,132130,3224180
129,136000,3356310
130,139900,3492310
131,145140,3632210
132,150420,3777350
133,155740,3927770
134,161100,4083510
135,166500,4244610
136,171940,4411110
137,177420,4583050
138,182940,4760470
139,188500,4943410
140,194100,5131910
141,199740,5326010
142,205420,5525750
143,211140,5731170
144,216900,5942310
145,222700,6159210
146,228540,6381910
147,234420,6610450
148,240340,6844870
149,246300,7085210
150,252300,7331510
